STATION_ID USER_ID EVENT_TIME EVENT_TYPE
019 64761762 05:13 OUT
014 13393125 05:13  IN
019 93982946 05:14  IN
011 62734650 05:15 OUT
019 31807407 05:15 OUT
002 68409606 05:16  IN
004 12085957 05:17 OUT
004 85409994 05:19 OUT
005 55177853 05:19 OUT
016 73495753 05:19 OUT
019 73842683 05:19 OUT
011 24070703 05:20 OUT
009 56186142 05:21  IN
013 66061682 05:21  IN
018 18061689 05:23  IN
018 73634007 05:23  IN
008 62095864 05:23 OUT
010 95769393 05:24  IN
018 93573086 05:24  IN
010 85299815 05:25  IN
016 81453976 05:25 OUT
010 52714274 05:27  IN
011 49809429 05:27 OUT
006 15365672 05:28  IN
003 77015972 05:29  IN
011 39888075 05:29  IN
015 18443367 05:29  IN
012 30130606 05:29  IN
019 10166939 05:29  IN
016 18061689 05:29 OUT
021 98610423 05:30  IN
004 72272453 05:30 OUT
019 86674989 05:30 OUT
008 75932738 05:30  IN
008 52714274 05:31 OUT
007 10570943 05:32 OUT
021 16351237 05:32  IN
006 31852424 05:33 OUT
004 78555898 05:35 OUT
009 84192914 05:35 OUT
015 93982946 05:36 OUT
019 58406933 05:37 OUT
002 09111346 05:37 OUT
001 59721134 05:38  IN
010 05940330 05:38  IN
011 95769393 05:38 OUT
020 06694626 05:38  IN
001 63118873 05:39  IN
015 44172205 05:39 OUT
002 35077674 05:40  IN
010 93573086 05:41 OUT
009 25644099 05:42  IN
018 10915421 05:42  IN
007 53034421 05:44  IN
016 78051964 05:45  IN
021 85299815 05:45 OUT
007 34743764 05:46  IN
020 65549803 05:47  IN
001 39858949 05:47  IN
016 75932738 05:48 OUT
007 62249725 05:49  IN
001 85893881 05:49 OUT
019 16351237 05:49 OUT
006 24284960 05:50 OUT
018 09235234 05:50 OUT
019 65549803 05:51 OUT
011 93285356 05:51  IN
006 66061682 05:52 OUT
014 78907351 05:53  IN
002 12018702 05:53 OUT
002 33669926 05:54  IN
011 91213247 05:54  IN
014 10166939 05:55 OUT
010 91213247 05:55 OUT
002 04635126 05:56  IN
007 68336324 05:57  IN
008 91056998 05:57  IN
014 58609206 05:57  IN
018 38386860 05:57  IN
002 60786590 05:58  IN
018 20940508 05:59  IN
011 10915421 06:00 OUT
010 58609206 06:01 OUT
004 56186142 06:02 OUT
021 16646044 06:02 OUT
015 93982946 06:02  IN
010 60730393 06:02  IN
001 20567452 06:02  IN
002 36919880 06:02  IN
004 73634007 06:03 OUT
006 64194061 06:04  IN
001 13393125 06:04 OUT
019 11228396 06:04 OUT
011 53034421 06:05 OUT
014 98995020 06:05  IN
019 68156042 06:05  IN
014 38386860 06:07 OUT
009 15365672 06:07 OUT
014 93966100 06:07  IN
011 34743764 06:08 OUT
002 85071267 06:08  IN
010 91056998 06:08 OUT
002 18866197 06:09  IN
006 67865230 06:10  IN
014 20549417 06:11  IN
021 61727923 06:11  IN
015 42288568 06:12  IN
014 53034421 06:12  IN
007 93285356 06:13 OUT
012 60730393 06:13 OUT
004 30130606 06:13 OUT
015 10975505 06:13  IN
001 86198047 06:14  IN
019 77015972 06:14 OUT
002 25644099 06:16 OUT
001 85893881 06:16  IN
002 98841792 06:16  IN
021 68409606 06:16 OUT
018 62249725 06:17 OUT
001 28784934 06:18  IN
011 35077674 06:18 OUT
010 01328320 06:19  IN
001 04265241 06:19  IN
001 39888075 06:19 OUT
002 18443367 06:20 OUT
014 42288568 06:20 OUT
001 05940330 06:21 OUT
002 64731147 06:21  IN
014 68156042 06:22 OUT
019 03088955 06:22  IN
015 19624892 06:23  IN
015 42433478 06:23  IN
001 18866197 06:23 OUT
019 10022154 06:23  IN
015 62789637 06:24  IN
014 59721134 06:24 OUT
019 10975505 06:24 OUT
002 12487276 06:25  IN
009 01328320 06:25 OUT
001 38330631 06:26  IN
007 36919880 06:26 OUT
005 98610423 06:26 OUT
004 85893881 06:27 OUT
021 68383861 06:28  IN
002 68017836 06:28  IN
001 95738401 06:28  IN
011 42433478 06:29 OUT
007 93966100 06:29 OUT
013 05375439 06:29  IN
019 76389794 06:30  IN
015 65245107 06:30  IN
002 83350059 06:30  IN
018 19624892 06:31 OUT
021 63118873 06:32 OUT
001 12308375 06:32  IN
001 67865230 06:33 OUT
001 60730393 06:33  IN
012 07145281 06:33  IN
014 22866948 06:33  IN
012 39858949 06:34 OUT
004 68017836 06:35 OUT
002 17043202 06:36  IN
006 78373647 06:36  IN
021 78936394 06:36  IN
008 04635126 06:36 OUT
002 81614009 06:37  IN
001 83242338 06:38  IN
019 65557317 06:38  IN
021 36581617 06:38  IN
021 62734650 06:39  IN
015 64194061 06:39 OUT
021 68336324 06:39 OUT
007 20549417 06:40 OUT
001 78051964 06:40 OUT
010 65245107 06:40 OUT
015 10022154 06:41 OUT
001 06694626 06:42 OUT
002 22784293 06:43  IN
021 98891161 06:43  IN
008 68779608 06:44  IN
011 85071267 06:44 OUT
019 62789637 06:45 OUT
019 22866948 06:45 OUT
001 90630814 06:46  IN
019 74870571 06:46  IN
001 78907351 06:46 OUT
014 78051964 06:46  IN
001 18073776 06:47  IN
013 60786590 06:47 OUT
010 07145281 06:48 OUT
005 81614009 06:48 OUT
004 66598721 06:49  IN
001 47946322 06:49  IN
013 96864932 06:49  IN
011 20567452 06:50 OUT
014 98914490 06:50  IN
001 58224916 06:51  IN
004 98995020 06:51 OUT
001 52540440 06:51  IN
001 57739419 06:52  IN
008 23623057 06:52  IN
015 66791611 06:52  IN
019 33669926 06:52 OUT
003 56186142 06:54  IN
015 86198047 06:54 OUT
015 33085788 06:55  IN
004 49035729 06:55  IN
015 65557317 06:55 OUT
001 93982946 06:56 OUT
002 15475235 06:56  IN
019 37036268 06:56  IN
019 29406633 06:57  IN
015 74870571 06:58 OUT
012 41904829 06:58  IN
002 53034421 06:58 OUT
001 20940508 06:59 OUT
002 15359038 07:01  IN
011 62734650 07:01 OUT
001 13887420 07:01  IN
007 17043202 07:01 OUT
002 87111111 07:01  IN
006 80851409 07:01  IN
002 92458089 07:02  IN
004 45173923 07:02  IN
001 61727923 07:03 OUT
002 59794163 07:03  IN
013 89900489 07:04  IN
005 92960886 07:04  IN
002 08995068 07:04  IN
011 04265241 07:05 OUT
014 98995020 07:05  IN
001 85226388 07:05  IN
005 07145281 07:05  IN
001 87111111 07:05 OUT
011 96864932 07:06 OUT
013 28784934 07:06 OUT
007 78051964 07:06 OUT
021 59721134 07:06  IN
019 67539117 07:07  IN
001 72317347 07:07  IN
019 98793473 07:07  IN
014 98841792 07:07 OUT
001 66598721 07:08 OUT
006 64444277 07:08  IN
001 59435624 07:08  IN
001 77198038 07:09  IN
004 08666655 07:09  IN
001 05375439 07:11 OUT
021 64731147 07:11 OUT
018 28797697 07:11  IN
005 15475235 07:12 OUT
010 98891161 07:12 OUT
019 23623057 07:13 OUT
015 12487276 07:13 OUT
006 52540440 07:13 OUT
005 26214532 07:14  IN
001 06418709 07:14  IN
002 61709088 07:14  IN
014 39470747 07:15  IN
001 95345706 07:15  IN
018 89900489 07:15 OUT
010 83350059 07:15 OUT
019 77193391 07:17  IN
005 80851409 07:17 OUT
001 05497415 07:17  IN
001 05940330 07:17  IN
010 25479015 07:17  IN
007 57739419 07:18 OUT
018 38330631 07:18 OUT
004 43864498 07:20  IN
011 22784293 07:20 OUT
019 10401157 07:20  IN
019 12308375 07:21 OUT
015 95738401 07:21 OUT
005 08995068 07:21 OUT
006 68383861 07:21 OUT
008 37036268 07:22 OUT
001 07145281 07:22 OUT
014 83242338 07:22 OUT
002 03088955 07:23 OUT
019 60730393 07:23 OUT
016 29824397 07:25  IN
002 69516303 07:25  IN
007 33085788 07:25 OUT
011 31342899 07:25  IN
002 76389794 07:25 OUT
019 35507365 07:26  IN
001 22784293 07:26  IN
001 78442788 07:26  IN
005 36581617 07:27 OUT
010 74125794 07:27  IN
001 68779608 07:27 OUT
008 98793473 07:28 OUT
002 05940330 07:28 OUT
010 15475235 07:28  IN
019 78373647 07:28 OUT
001 20597551 07:28  IN
002 98914490 07:28 OUT
001 25644099 07:28  IN
010 59721134 07:29 OUT
001 01817753 07:30  IN
018 44230541 07:32  IN
007 29734681 07:32  IN
004 05497415 07:32 OUT
001 09111346 07:33  IN
010 47946322 07:34 OUT
009 49035729 07:34 OUT
013 18073776 07:35 OUT
011 10401157 07:37 OUT
016 44230541 07:38 OUT
009 35077674 07:38  IN
001 41904829 07:38 OUT
019 10166939 07:38  IN
010 56186142 07:38 OUT
001 60730393 07:40  IN
017 31342899 07:40 OUT
011 45173923 07:40 OUT
019 55666983 07:40  IN
001 78936394 07:41 OUT
007 24070703 07:41  IN
011 77193391 07:42 OUT
015 58224916 07:42 OUT
019 79835086 07:43  IN
014 15475235 07:43 OUT
002 52540440 07:43  IN
010 92960886 07:43 OUT
007 61709088 07:44 OUT
002 78996302 07:44  IN
007 79040721 07:45  IN
002 09111346 07:45 OUT
002 16148474 07:45  IN
001 66791611 07:45 OUT
002 09337052 07:48  IN
019 34787919 07:48  IN
020 90630814 07:50 OUT
010 04445409 07:50  IN
013 84439215 07:50  IN
010 01328320 07:51  IN
019 13430330 07:51  IN
010 18907217 07:51  IN
011 85226388 07:52 OUT
010 59794163 07:52 OUT
004 98995020 07:52 OUT
002 29734681 07:52 OUT
001 59794163 07:54  IN
001 29406633 07:54 OUT
002 90085248 07:54  IN
015 92458089 07:54 OUT
019 19251039 07:54  IN
008 27506975 07:54  IN
006 90630814 07:54  IN
020 13887420 07:54 OUT
020 08666655 07:54 OUT
021 68553570 07:54  IN
020 34787919 07:55 OUT
011 43864498 07:55 OUT
010 21216320 07:56  IN
002 40457999 07:56  IN
018 15359038 07:56 OUT
005 74125794 07:57 OUT
004 70322322 07:58  IN
019 72317347 07:58 OUT
002 25479015 07:59 OUT
007 29824397 07:59 OUT
010 77198038 07:59 OUT
018 59435624 08:00 OUT
015 58598703 08:00  IN
002 31752058 08:00  IN
007 78051964 08:01  IN
010 10166939 08:01 OUT
015 08750035 08:01  IN
020 26214532 08:01 OUT
019 64444277 08:01 OUT
002 67539117 08:01 OUT
007 20597551 08:02 OUT
001 72970944 08:02  IN
004 49500582 08:02  IN
002 39470747 08:03 OUT
018 44518316 08:03  IN
018 70691741 08:03  IN
010 79040721 08:04 OUT
014 22784293 08:05 OUT
015 04445409 08:06 OUT
015 64444277 08:07  IN
019 95345706 08:07 OUT
006 89292240 08:08  IN
001 88428101 08:09  IN
015 25644099 08:09 OUT
001 28797697 08:09 OUT
005 40457999 08:09 OUT
009 87537159 08:09  IN
002 17043202 08:10  IN
011 27506975 08:10 OUT
015 18907217 08:11 OUT
011 13430330 08:12 OUT
011 21216320 08:12 OUT
021 84439215 08:12 OUT
006 35077674 08:13 OUT
010 69516303 08:13 OUT
012 63118873 08:13  IN
002 10592042 08:13  IN
001 03576273 08:13  IN
021 06418709 08:14 OUT
018 57620937 08:14  IN
011 58598703 08:14 OUT
018 81539720 08:15  IN
001 56186142 08:16  IN
015 12085957 08:17  IN
018 18746080 08:17  IN
010 62988338 08:17  IN
010 19251039 08:17 OUT
002 18866197 08:17  IN
001 45163877 08:17  IN
019 24070703 08:17 OUT
015 54088408 08:18  IN
015 78442788 08:19 OUT
007 79835086 08:20 OUT
009 08207121 08:22  IN
015 52540440 08:23 OUT
015 78996302 08:23 OUT
001 88535944 08:23  IN
013 63118873 08:24 OUT
006 72970944 08:24 OUT
010 47135715 08:24  IN
002 35507365 08:24 OUT
012 54088408 08:25 OUT
018 69626633 08:26  IN
017 26214532 08:26  IN
002 20846136 08:27  IN
006 01328320 08:27 OUT
004 55666983 08:27 OUT
010 78051964 08:27 OUT
018 13412293 08:27  IN
007 70322322 08:28 OUT
018 87965372 08:28  IN
006 41452253 08:28  IN
008 47135715 08:28 OUT
011 08207121 08:29 OUT
004 45163877 08:30 OUT
002 18073776 08:30  IN
008 90085248 08:30 OUT
017 16148474 08:30 OUT
019 01817753 08:32 OUT
013 90630814 08:32 OUT
007 84192914 08:33  IN
015 81539720 08:33 OUT
014 98891161 08:34  IN
001 55778896 08:34  IN
002 21601891 08:35  IN
010 63578670 08:35  IN
001 46706818 08:36  IN
006 17587441 08:36  IN
001 42434904 08:36  IN
018 60730393 08:37 OUT
002 23737302 08:37  IN
021 43264232 08:37  IN
009 59794163 08:37 OUT
007 87537159 08:37 OUT
010 98891161 08:38 OUT
001 41452253 08:40 OUT
015 69626633 08:40 OUT
001 64555187 08:41  IN
001 37036268 08:42  IN
002 08750035 08:43 OUT
010 69253198 08:44  IN
020 62988338 08:45 OUT
019 09337052 08:45 OUT
007 10592042 08:45 OUT
018 78473929 08:45  IN
015 08989165 08:46  IN
001 68341586 08:46  IN
011 31752058 08:47 OUT
001 21601891 08:47 OUT
002 08348281 08:48  IN
002 68553570 08:48 OUT
002 59852366 08:49  IN
013 88428101 08:50 OUT
012 31642900 08:50  IN
019 78473929 08:50 OUT
009 87965372 08:50 OUT
008 26214532 08:51 OUT
015 02999195 08:51  IN
001 31747977 08:51  IN
018 89292240 08:51 OUT
001 70691741 08:52 OUT
018 09382003 08:52  IN
002 44518316 08:53 OUT
006 12085957 08:53 OUT
011 58009036 08:53  IN
001 98230321 08:53  IN
002 64444277 08:54 OUT
018 49500582 08:54 OUT
005 42434904 08:55 OUT
021 39679931 08:55  IN
004 59852366 08:55 OUT
004 63176637 08:56  IN
001 84192914 08:56 OUT
015 47952338 08:57  IN
004 18746080 08:58 OUT
011 43264232 08:58 OUT
018 93914170 08:58  IN
019 08989165 08:58 OUT
011 31642900 08:58 OUT
019 17043202 09:00 OUT
014 76902908 09:00  IN
012 02999195 09:01 OUT
011 03576273 09:03 OUT
019 86674989 09:05  IN
019 56186142 09:05 OUT
006 31581144 09:05  IN
007 37036268 09:06 OUT
014 13887420 09:06  IN
019 39652079 09:07  IN
011 76902908 09:07 OUT
004 79040721 09:08  IN
015 66200959 09:09  IN
013 94930390 09:11  IN
002 57620937 09:12 OUT
001 63578670 09:14 OUT
020 99538972 09:15  IN
018 18866197 09:15 OUT
016 88535944 09:16 OUT
008 46706818 09:16 OUT
004 13412293 09:17 OUT
019 76142588 09:18  IN
014 22784293 09:19  IN
004 40761919 09:19  IN
009 53087225 09:20  IN
018 39652079 09:22 OUT
018 20846136 09:22 OUT
007 08707722 09:22  IN
010 22784293 09:23 OUT
015 21780159 09:23  IN
011 23737302 09:24 OUT
001 15365672 09:24  IN
002 58144648 09:25  IN
018 76142588 09:26 OUT
019 18073776 09:27 OUT
015 55778896 09:28 OUT
002 69253198 09:28 OUT
011 53087225 09:29 OUT
001 58009036 09:30 OUT
013 64555187 09:30 OUT
021 31271888 09:31  IN
019 07288530 09:32  IN
007 93914170 09:33 OUT
021 17587441 09:33 OUT
019 51805210 09:35  IN
015 31747977 09:36 OUT
017 66061682 09:36  IN
015 08348281 09:37 OUT
018 63176637 09:37 OUT
019 31271888 09:38 OUT
006 13887420 09:39 OUT
019 01033662 09:39  IN
010 98230321 09:39 OUT
019 75811242 09:40  IN
006 66200959 09:40 OUT
004 98830225 09:41  IN
014 45163877 09:42  IN
002 47952338 09:42 OUT
011 79040721 09:44 OUT
001 09382003 09:44 OUT
021 68341586 09:45 OUT
014 33293628 09:45  IN
017 64011654 09:47  IN
018 31581144 09:47 OUT
021 38330631 09:48  IN
014 08707722 09:48 OUT
020 51805210 09:48 OUT
004 40695483 09:50  IN
002 06204522 09:50  IN
006 34743764 09:51  IN
001 39679931 09:51 OUT
015 10694166 09:51  IN
015 01033662 09:52 OUT
005 29553383 09:53  IN
019 66061682 09:54 OUT
015 39858949 09:56  IN
015 45163877 09:56 OUT
015 39470747 09:57  IN
002 94930390 09:58 OUT
006 21780159 09:59 OUT
018 68336324 10:01  IN
007 07288530 10:02 OUT
001 06204522 10:02 OUT
002 40695483 10:02 OUT
011 40531542 10:02  IN
015 73434108 10:03  IN
019 33293628 10:03 OUT
016 74913146 10:03  IN
001 86674989 10:04 OUT
011 64011654 10:05 OUT
010 86693028 10:05  IN
002 34743764 10:06 OUT
013 20846136 10:07  IN
012 95769393 10:08  IN
002 76142588 10:09  IN
001 99538972 10:10 OUT
019 53566419 10:10  IN
011 20846136 10:10 OUT
018 10694166 10:11 OUT
010 39470747 10:11 OUT
008 33669926 10:11  IN
011 95769393 10:11 OUT
021 19705380 10:12  IN
011 16646044 10:13  IN
011 86693028 10:13 OUT
019 58144648 10:13 OUT
011 53005170 10:14  IN
011 85409994 10:14  IN
020 40761919 10:14 OUT
008 40531542 10:15 OUT
013 38330631 10:16 OUT
021 00052238 10:18  IN
013 95769393 10:18  IN
001 81453976 10:19  IN
011 42525932 10:20  IN
006 63931695 10:20  IN
012 98891161 10:21  IN
001 58224916 10:22  IN
015 33669926 10:22 OUT
009 74913146 10:22 OUT
006 33758386 10:23  IN
019 00052238 10:23 OUT
015 84220660 10:24  IN
005 60499064 10:24  IN
019 15365672 10:25 OUT
016 98830225 10:25 OUT
007 72970944 10:25  IN
019 70270230 10:25  IN
011 33209283 10:26  IN
019 05670469 10:27  IN
014 19705380 10:27 OUT
018 12788838 10:30  IN
015 53005170 10:30 OUT
011 99700326 10:32  IN
002 75811242 10:32 OUT
018 54644943 10:32  IN
010 99700326 10:33 OUT
001 62789637 10:33  IN
014 98891161 10:34 OUT
011 92960886 10:35  IN
019 85409994 10:36 OUT
019 68383861 10:37  IN
019 00782029 10:37  IN
015 52714274 10:40  IN
004 39858949 10:40 OUT
017 95769393 10:40 OUT
011 49500582 10:41  IN
011 62067194 10:41  IN
007 12393228 10:42  IN
007 19665819 10:43  IN
011 42433478 10:43  IN
002 60499064 10:43 OUT
019 84220660 10:43 OUT
001 73434108 10:44 OUT
011 92367560 10:44  IN
020 29553383 10:44 OUT
015 70270230 10:45 OUT
011 35507365 10:45  IN
002 62789637 10:46 OUT
021 33209283 10:46 OUT
012 49500582 10:46 OUT
007 63106999 10:47  IN
006 43248499 10:48  IN
002 68336324 10:48 OUT
011 57370976 10:49  IN
011 91742433 10:49  IN
021 12788838 10:50 OUT
011 63931695 10:50 OUT
018 10060632 10:51  IN
001 60786590 10:52  IN
008 98610423 10:52  IN
001 72970944 10:52 OUT
018 68383861 10:53 OUT
016 86693028 10:54  IN
011 76142588 10:55 OUT
014 35507365 10:56 OUT
018 62734650 10:56  IN
011 52714274 10:56 OUT
004 53133390 10:57  IN
014 93375984 10:57  IN
021 16825130 10:57  IN
019 21756331 10:57  IN
018 93261356 10:57  IN
011 00782029 10:58 OUT
011 12393228 10:59 OUT
002 53566419 10:59 OUT
019 42433478 10:59 OUT
002 42525932 11:00 OUT
020 18971040 11:00  IN
002 16646044 11:01 OUT
018 54659311 11:01  IN
004 62095864 11:02  IN
001 74125404 11:03  IN
010 58224916 11:04 OUT
019 16825130 11:07 OUT
020 92367560 11:08 OUT
020 33758386 11:10 OUT
018 29397305 11:10  IN
019 19665819 11:12 OUT
015 79835086 11:13  IN
020 32756543 11:13  IN
019 81453976 11:13 OUT
011 67973389 11:13  IN
015 63106999 11:13 OUT
007 22404003 11:15  IN
005 67901675 11:16  IN
002 62789637 11:16  IN
007 25104184 11:16  IN
018 43264232 11:17  IN
020 54659311 11:17 OUT
019 09149873 11:17  IN
005 78907351 11:18  IN
011 43248499 11:19 OUT
019 82357447 11:20  IN
021 45788633 11:20  IN
019 74631342 11:21  IN
011 93261356 11:22 OUT
011 77028551 11:22  IN
001 62095864 11:22 OUT
004 78907351 11:22 OUT
002 92960886 11:23 OUT
006 57370976 11:25 OUT
001 62067194 11:26 OUT
016 73434108 11:27  IN
011 05207789 11:27  IN
012 32881421 11:27  IN
013 48522940 11:27  IN
002 03576273 11:27  IN
019 33809772 11:28  IN
015 48760377 11:28  IN
011 86044055 11:28  IN
001 62789637 11:28 OUT
011 60786590 11:29 OUT
001 05670469 11:29 OUT
018 98283519 11:30  IN
002 54644943 11:30 OUT
010 53133390 11:31 OUT
002 98610423 11:32 OUT
015 92367560 11:33  IN
007 28797697 11:34  IN
015 78996302 11:34  IN
015 82357447 11:34 OUT
010 48760377 11:34 OUT
011 92960886 11:34  IN
020 56186142 11:35  IN
004 62734650 11:36 OUT
021 09382003 11:37  IN
001 93375984 11:37 OUT
010 58279096 11:37  IN
019 43864498 11:38  IN
001 91742433 11:38 OUT
006 10060632 11:39 OUT
019 73434108 11:39 OUT
021 33809772 11:39 OUT
018 68383861 11:40  IN
002 86693028 11:40 OUT
006 67973389 11:41 OUT
011 00115106 11:41  IN
016 92367560 11:41 OUT
019 68502847 11:42  IN
008 10166939 11:43  IN
018 25104184 11:43 OUT
018 86044055 11:45 OUT
007 03088955 11:46  IN
016 73024878 11:46  IN
011 58144648 11:46  IN
018 22404003 11:49 OUT
019 32881421 11:50 OUT
010 00115106 11:50 OUT
015 56186142 11:51 OUT
015 74125404 11:51 OUT
004 21756331 11:51 OUT
013 42264565 11:52  IN
012 74125404 11:52  IN
013 11170574 11:53  IN
004 18410029 11:53  IN
010 73024878 11:55 OUT
015 93939835 11:55  IN
005 77028551 11:55 OUT
011 14202725 11:56  IN
019 78996302 11:56 OUT
011 44837291 11:57  IN
010 58144648 11:58 OUT
014 67901675 11:58 OUT
014 74125404 11:58 OUT
011 18214107 11:58  IN
001 55666983 11:59  IN
004 29397305 11:59 OUT
001 28797697 11:59 OUT
018 10166939 12:00 OUT
005 86044055 12:01  IN
019 13208295 12:01  IN
018 02522818 12:01  IN
011 39652079 12:02  IN
013 68383861 12:03 OUT
001 32756543 12:03 OUT
002 18971040 12:04 OUT
010 11170574 12:04 OUT
019 15436980 12:04  IN
004 54471611 12:05  IN
019 52714274 12:05  IN
002 79835086 12:05 OUT
006 09149873 12:05 OUT
018 25779225 12:05  IN
010 68502847 12:06 OUT
004 92960886 12:06 OUT
006 58279096 12:08 OUT
012 76389794 12:08  IN
003 48522940 12:09 OUT
002 13887420 12:10  IN
011 41509338 12:11  IN
003 43264232 12:12 OUT
014 39652079 12:12 OUT
011 38330631 12:13  IN
015 44837291 12:13 OUT
011 66280806 12:13  IN
001 05207789 12:13 OUT
004 78373647 12:13  IN
018 51805210 12:14  IN
004 45788633 12:14 OUT
002 55831919 12:15  IN
005 55666983 12:16 OUT
005 74631342 12:16 OUT
015 02522818 12:16 OUT
019 78996302 12:16  IN
017 03576273 12:17 OUT
018 14202725 12:17 OUT
001 03088955 12:17 OUT
011 02999195 12:18  IN
015 18214107 12:18 OUT
020 25779225 12:18 OUT
018 78996302 12:19 OUT
011 05375439 12:20  IN
011 46706818 12:20  IN
019 69643298 12:22  IN
002 77880223 12:22  IN
004 98283519 12:22 OUT
006 43864498 12:23 OUT
016 91742433 12:23  IN
019 76389794 12:25 OUT
010 13208295 12:25 OUT
004 86113980 12:26  IN
019 92458089 12:26  IN
005 42264565 12:26 OUT
005 23623057 12:31  IN
010 18410029 12:32 OUT
019 19251039 12:34  IN
021 41509338 12:35 OUT
008 39076208 12:36  IN
004 09382003 12:36 OUT
004 93939835 12:36 OUT
013 15475235 12:36  IN
012 67329491 12:37  IN
021 69643298 12:38 OUT
014 54471611 12:39 OUT
015 46706818 12:40 OUT
021 05375439 12:43 OUT
020 86044055 12:44 OUT
010 67329491 12:44 OUT
001 86113980 12:45 OUT
013 25644099 12:45  IN
011 66598721 12:45  IN
021 19251039 12:46 OUT
019 31581144 12:47  IN
008 13887420 12:48 OUT
006 42935578 12:48  IN
018 03360384 12:49  IN
013 60499064 12:50  IN
014 74861886 12:51  IN
001 54388593 12:51  IN
003 02999195 12:51 OUT
012 09859409 12:52  IN
014 66598721 12:53 OUT
019 17876618 12:54  IN
006 52714274 12:54 OUT
011 37036268 12:54  IN
019 20597551 12:54  IN
013 73024878 12:54  IN
013 65369988 12:55  IN
002 98439830 12:55  IN
005 29406633 12:55  IN
019 15359038 12:58  IN
018 40457999 12:58  IN
010 21203084 12:58  IN
018 39652079 12:58  IN
004 15436980 12:58 OUT
001 38330631 13:01 OUT
001 34771267 13:01  IN
007 63578670 13:01  IN
004 29406633 13:01 OUT
021 78373647 13:01 OUT
019 70691741 13:01  IN
001 66280806 13:02 OUT
001 13393125 13:02  IN
002 93261356 13:02  IN
015 17876618 13:02 OUT
010 03360384 13:02 OUT
019 25644099 13:03 OUT
019 74861886 13:03 OUT
019 55831919 13:05 OUT
011 31581144 13:07 OUT
015 40457999 13:07 OUT
006 15475235 13:07 OUT
019 60499064 13:07 OUT
021 26532203 13:07  IN
002 39076208 13:08 OUT
011 26477902 13:10  IN
018 70691741 13:11 OUT
018 77880223 13:11 OUT
001 91742433 13:12 OUT
019 17876618 13:12  IN
005 34771267 13:12 OUT
015 20597551 13:12 OUT
001 51805210 13:13 OUT
014 33669926 13:14  IN
006 48448037 13:14  IN
003 93261356 13:14 OUT
018 37036268 13:15 OUT
009 76395707 13:15  IN
021 35963491 13:16  IN
007 18410029 13:17  IN
020 53120929 13:18  IN
001 25479015 13:19  IN
010 76395707 13:19 OUT
011 42935578 13:20 OUT
013 69475219 13:21  IN
008 95693591 13:22  IN
018 23623057 13:24 OUT
001 90085248 13:24  IN
019 67533206 13:24  IN
001 92458089 13:25 OUT
015 36581617 13:25  IN
015 58802605 13:29  IN
006 73024878 13:30 OUT
021 15272120 13:30  IN
007 39652079 13:31 OUT
018 69475219 13:31 OUT
002 79040721 13:32  IN
005 83350059 13:32  IN
